,ABG,ACT,AEL,AFH,AFX,AIL,AMS,APF,ARI,ASC,ATT,AWA,BAW,BIL,BRN,BVT,CFR,CLR,CML,CPI,CSB,DCP,DLT,DTC,EOH,EQU,FBR,FFB,GFI,GND,GRP,HAR,HDC,HPB,IAP,INL,IPF,ITE,IVT,KAP,KST,L4L,LBR,LHC,MEI,MMI,MNK,MPT,MSM,MTA,MUR,NHM,NPN,NT1,OCE,OMN,PAN,PGR,PPC,PSG,RBP,RCL,REB,RES,RLO,RMI,RPL,SAC,SBK,SGL,SLM,SNT,SPG,SRE,SUI,TBS,TDH,TFG,TON,TRU,VKE,VVO,WHL,ACL,ADH,AFE,AFT,AGL,AIP,ANG,APN,ARL,ASR,AVI,BAT,BID,BLU,BTI,CCO,CLH,CLS,COH,CRP,CTK,DGH,DSY,EMI,EPP,EXX,FFA,FSR,GLN,GRP,GRT,HCI,HMN,HYP,IMP,INP,IPL,ITU,JSE,KIO,L2D,LBH,LEW,LON,MIX,MND,MNP,MRP,MSP,MTN,NED,NPK,NRP,NTC,OCT,OMU,PFG,PIK,PPH,QLT,RBX,RDF,REM,RFG,RMH,RNI,S32,SAP,SDO,SHP,SNH,SOL,SPP,STP,SUR,TCP,TEX,TKG,TRE,TSH,VOD,WBO,ZED
SAC,0.005,0.003,0.006,0.005,0.004,0.006,0.008,0.002,0.008,0.007,0.003,0.002,0.005,0.009,0.001,0.005,0.007,0.005,0.006,0.007,0.005,0.008,0.004,0.004,0.006,0.004,0.001,0.009,0.005,0.006,0.008,0.006,0.002,0.005,0.002,0.007,0.002,0.003,0.004,0.005,0.002,0.003,0.007,0.008,0.007,0.006,0.006,0.005,0.007,0.005,0.004,0.009,0.010,0.002,0.004,0.005,0.005,0.004,0.004,0.007,0.006,0.002,0.004,0.007,0.003,0.006,0.006,0.004,0.006,0.009,0.007,0.002,0.004,0.002,0.004,0.005,0.001,0.005,0.005,0.005,0.003,0.007,0.007,0.008,0.001,0.004,0.002,0.008,0.005,0.007,0.008,0.006,0.006,0.004,0.007,0.006,0.006,0.006,0.004,0.001,0.005,0.005,0.004,0.003,0.006,0.006,0.004,0.002,0.008,0.002,0.006,0.010,0.008,0.003,0.005,0.004,0.006,0.008,0.007,0.007,0.004,0.005,0.006,-0.000,0.006,0.004,0.010,0.003,0.006,0.006,0.006,0.004,0.005,0.005,0.006,0.009,0.006,0.004,0.006,0.007,0.007,0.007,0.006,0.002,0.004,0.007,0.005,0.006,0.007,0.008,0.006,0.007,0.004,0.007,0.008,0.006,0.003,0.004,0.005,0.003,0.006,0.008,0.004,0.005,0.003,0.007
SBK,0.008,0.005,0.009,0.008,0.006,0.011,0.013,0.004,0.013,0.012,0.006,0.004,0.009,0.015,0.002,0.008,0.012,0.008,0.010,0.011,0.008,0.013,0.008,0.006,0.010,0.006,0.001,0.015,0.008,0.010,0.014,0.010,0.003,0.008,0.003,0.011,0.004,0.005,0.006,0.008,0.004,0.005,0.012,0.013,0.012,0.010,0.010,0.008,0.012,0.008,0.006,0.015,0.016,0.003,0.006,0.009,0.009,0.007,0.007,0.012,0.009,0.003,0.007,0.011,0.004,0.009,0.011,0.006,0.010,0.015,0.012,0.004,0.006,0.003,0.006,0.009,0.002,0.009,0.008,0.008,0.005,0.012,0.011,0.014,0.002,0.007,0.003,0.013,0.008,0.012,0.013,0.010,0.011,0.008,0.012,0.010,0.010,0.010,0.007,0.003,0.008,0.009,0.007,0.006,0.011,0.010,0.006,0.004,0.013,0.004,0.010,0.016,0.014,0.005,0.008,0.006,0.010,0.013,0.011,0.012,0.007,0.008,0.011,-0.000,0.010,0.007,0.017,0.006,0.010,0.010,0.011,0.006,0.008,0.008,0.009,0.015,0.009,0.007,0.010,0.011,0.012,0.012,0.009,0.004,0.007,0.011,0.008,0.010,0.012,0.014,0.010,0.012,0.007,0.012,0.014,0.010,0.006,0.007,0.008,0.005,0.010,0.013,0.006,0.008,0.005,0.012
SGL,0.012,0.007,0.013,0.012,0.009,0.015,0.019,0.005,0.018,0.016,0.008,0.005,0.013,0.022,0.003,0.012,0.018,0.012,0.014,0.016,0.011,0.018,0.011,0.009,0.014,0.009,0.002,0.021,0.011,0.014,0.019,0.015,0.005,0.011,0.005,0.016,0.006,0.007,0.009,0.012,0.005,0.007,0.016,0.018,0.017,0.015,0.014,0.011,0.017,0.012,0.009,0.021,0.023,0.004,0.009,0.013,0.013,0.010,0.009,0.018,0.013,0.005,0.010,0.016,0.006,0.013,0.015,0.009,0.015,0.021,0.017,0.005,0.009,0.005,0.009,0.012,0.003,0.013,0.011,0.012,0.007,0.017,0.016,0.020,0.003,0.010,0.004,0.018,0.011,0.017,0.019,0.014,0.015,0.011,0.017,0.014,0.014,0.014,0.010,0.004,0.012,0.012,0.010,0.008,0.015,0.014,0.009,0.006,0.019,0.005,0.014,0.023,0.020,0.007,0.011,0.009,0.014,0.018,0.016,0.017,0.010,0.012,0.015,-0.000,0.015,0.010,0.025,0.008,0.014,0.015,0.015,0.008,0.011,0.012,0.013,0.021,0.013,0.010,0.014,0.016,0.017,0.017,0.014,0.005,0.010,0.016,0.011,0.014,0.016,0.020,0.015,0.018,0.010,0.017,0.020,0.014,0.008,0.009,0.011,0.007,0.014,0.019,0.009,0.011,0.007,0.017
SLM,0.009,0.006,0.010,0.009,0.007,0.012,0.015,0.004,0.014,0.013,0.006,0.004,0.010,0.017,0.002,0.009,0.014,0.009,0.011,0.013,0.009,0.014,0.008,0.007,0.011,0.007,0.002,0.016,0.009,0.011,0.015,0.011,0.004,0.008,0.004,0.013,0.004,0.006,0.007,0.009,0.004,0.005,0.013,0.014,0.014,0.011,0.011,0.008,0.013,0.009,0.007,0.017,0.018,0.003,0.007,0.010,0.010,0.007,0.007,0.014,0.010,0.004,0.008,0.013,0.005,0.010,0.012,0.007,0.012,0.017,0.013,0.004,0.007,0.004,0.007,0.010,0.003,0.010,0.009,0.009,0.006,0.013,0.012,0.016,0.002,0.008,0.003,0.014,0.009,0.013,0.015,0.011,0.012,0.008,0.013,0.011,0.011,0.011,0.007,0.003,0.009,0.010,0.008,0.006,0.012,0.011,0.007,0.005,0.015,0.004,0.011,0.018,0.015,0.006,0.009,0.007,0.011,0.014,0.012,0.013,0.008,0.009,0.012,-0.000,0.011,0.008,0.019,0.006,0.011,0.011,0.012,0.007,0.008,0.009,0.011,0.016,0.010,0.008,0.011,0.012,0.014,0.013,0.011,0.004,0.008,0.012,0.009,0.011,0.013,0.015,0.012,0.014,0.008,0.013,0.016,0.011,0.006,0.007,0.008,0.006,0.011,0.015,0.007,0.009,0.006,0.014
SNT,0.003,0.002,0.003,0.003,0.002,0.004,0.005,0.001,0.005,0.004,0.002,0.001,0.003,0.006,0.001,0.003,0.004,0.003,0.003,0.004,0.003,0.005,0.003,0.002,0.003,0.002,0.001,0.005,0.003,0.004,0.005,0.004,0.001,0.003,0.001,0.004,0.001,0.002,0.002,0.003,0.001,0.002,0.004,0.005,0.004,0.004,0.004,0.003,0.004,0.003,0.002,0.005,0.006,0.001,0.002,0.003,0.003,0.002,0.002,0.005,0.003,0.001,0.003,0.004,0.002,0.003,0.004,0.002,0.004,0.005,0.004,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.003,0.003,0.002,0.004,0.004,0.005,0.001,0.002,0.001,0.005,0.003,0.004,0.005,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.002,0.001,0.003,0.003,0.003,0.002,0.004,0.004,0.002,0.001,0.005,0.001,0.003,0.006,0.005,0.002,0.003,0.002,0.003,0.005,0.004,0.004,0.003,0.003,0.004,-0.000,0.004,0.003,0.006,0.002,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.001,0.002,0.004,0.003,0.003,0.004,0.005,0.004,0.005,0.002,0.004,0.005,0.004,0.002,0.002,0.003,0.002,0.003,0.005,0.002,0.003,0.002,0.004
SPG,0.005,0.003,0.005,0.005,0.004,0.006,0.008,0.002,0.007,0.007,0.003,0.002,0.005,0.009,0.001,0.005,0.007,0.005,0.005,0.007,0.004,0.007,0.004,0.004,0.006,0.004,0.001,0.008,0.004,0.006,0.008,0.006,0.002,0.004,0.002,0.007,0.002,0.003,0.003,0.005,0.002,0.003,0.007,0.007,0.007,0.006,0.006,0.004,0.007,0.005,0.003,0.009,0.009,0.001,0.004,0.005,0.005,0.004,0.004,0.007,0.005,0.002,0.004,0.007,0.002,0.005,0.006,0.004,0.006,0.009,0.007,0.002,0.003,0.002,0.004,0.005,0.001,0.005,0.005,0.005,0.003,0.007,0.006,0.008,0.001,0.004,0.001,0.007,0.004,0.007,0.008,0.005,0.006,0.004,0.007,0.006,0.005,0.006,0.004,0.001,0.005,0.005,0.004,0.003,0.006,0.006,0.004,0.002,0.008,0.002,0.005,0.009,0.008,0.003,0.005,0.004,0.006,0.007,0.006,0.007,0.004,0.005,0.006,-0.000,0.006,0.004,0.010,0.003,0.006,0.006,0.006,0.003,0.004,0.005,0.005,0.008,0.005,0.004,0.006,0.006,0.007,0.007,0.005,0.002,0.004,0.006,0.005,0.005,0.007,0.008,0.006,0.007,0.004,0.007,0.008,0.006,0.003,0.004,0.004,0.003,0.005,0.008,0.004,0.005,0.003,0.007
SRE,0.003,0.002,0.003,0.002,0.002,0.003,0.004,0.001,0.004,0.003,0.002,0.001,0.003,0.005,0.001,0.002,0.004,0.002,0.003,0.003,0.002,0.004,0.002,0.002,0.003,0.002,0.000,0.004,0.002,0.003,0.004,0.003,0.001,0.002,0.001,0.003,0.001,0.002,0.002,0.002,0.001,0.001,0.003,0.004,0.004,0.003,0.003,0.002,0.004,0.003,0.002,0.005,0.005,0.001,0.002,0.003,0.003,0.002,0.002,0.004,0.003,0.001,0.002,0.003,0.001,0.003,0.003,0.002,0.003,0.005,0.004,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002,0.003,0.002,0.004,0.003,0.004,0.001,0.002,0.001,0.004,0.002,0.004,0.004,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.002,0.001,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.001,0.004,0.001,0.003,0.005,0.004,0.002,0.002,0.002,0.003,0.004,0.003,0.004,0.002,0.003,0.003,-0.000,0.003,0.002,0.005,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.001,0.002,0.003,0.002,0.003,0.003,0.004,0.003,0.004,0.002,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.002,0.004
SUI,0.005,0.003,0.006,0.005,0.004,0.007,0.008,0.002,0.008,0.007,0.003,0.002,0.006,0.009,0.001,0.005,0.008,0.005,0.006,0.007,0.005,0.008,0.005,0.004,0.006,0.004,0.001,0.009,0.005,0.006,0.008,0.006,0.002,0.005,0.002,0.007,0.002,0.003,0.004,0.005,0.002,0.003,0.007,0.008,0.008,0.006,0.006,0.005,0.007,0.005,0.004,0.009,0.010,0.002,0.004,0.006,0.006,0.004,0.004,0.008,0.006,0.002,0.004,0.007,0.003,0.006,0.007,0.004,0.006,0.009,0.007,0.002,0.004,0.002,0.004,0.005,0.001,0.006,0.005,0.005,0.003,0.007,0.007,0.009,0.001,0.004,0.002,0.008,0.005,0.007,0.008,0.006,0.007,0.005,0.007,0.006,0.006,0.006,0.004,0.002,0.005,0.005,0.004,0.003,0.007,0.006,0.004,0.003,0.008,0.002,0.006,0.010,0.009,0.003,0.005,0.004,0.006,0.008,0.007,0.007,0.004,0.005,0.007,-0.000,0.006,0.004,0.011,0.004,0.006,0.006,0.007,0.004,0.005,0.005,0.006,0.009,0.006,0.004,0.006,0.007,0.008,0.007,0.006,0.002,0.004,0.007,0.005,0.006,0.007,0.008,0.006,0.008,0.004,0.007,0.009,0.006,0.004,0.004,0.005,0.003,0.006,0.008,0.004,0.005,0.003,0.008
TBS,0.007,0.004,0.008,0.007,0.005,0.009,0.011,0.003,0.011,0.009,0.005,0.003,0.007,0.013,0.002,0.007,0.010,0.007,0.008,0.009,0.006,0.010,0.006,0.005,0.008,0.005,0.001,0.012,0.006,0.008,0.011,0.008,0.003,0.006,0.003,0.009,0.003,0.004,0.005,0.007,0.003,0.004,0.009,0.010,0.010,0.008,0.008,0.006,0.010,0.007,0.005,0.012,0.013,0.002,0.005,0.007,0.007,0.005,0.005,0.010,0.008,0.003,0.006,0.009,0.004,0.008,0.009,0.005,0.009,0.012,0.010,0.003,0.005,0.003,0.005,0.007,0.002,0.007,0.006,0.007,0.004,0.010,0.009,0.011,0.002,0.006,0.002,0.010,0.006,0.010,0.011,0.008,0.009,0.006,0.009,0.008,0.008,0.008,0.005,0.002,0.007,0.007,0.006,0.005,0.009,0.008,0.005,0.003,0.011,0.003,0.008,0.013,0.011,0.004,0.006,0.005,0.008,0.010,0.009,0.010,0.006,0.007,0.009,-0.000,0.008,0.006,0.014,0.005,0.008,0.008,0.009,0.005,0.006,0.007,0.008,0.012,0.008,0.006,0.008,0.009,0.010,0.009,0.008,0.003,0.006,0.009,0.006,0.008,0.009,0.011,0.009,0.010,0.006,0.010,0.012,0.008,0.005,0.005,0.006,0.004,0.008,0.011,0.005,0.007,0.004,0.010
TDH,0.002,0.001,0.002,0.002,0.001,0.002,0.003,0.001,0.003,0.003,0.001,0.001,0.002,0.004,0.001,0.002,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.001,0.002,0.001,0.000,0.003,0.002,0.002,0.003,0.002,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.001,0.003,0.004,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.002,0.003,0.001,0.002,0.002,0.001,0.002,0.003,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.003,0.003,0.003,0.000,0.002,0.001,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.003,0.001,0.002,0.004,0.003,0.001,0.002,0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.003,-0.000,0.002,0.002,0.004,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.001,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.002,0.001,0.002,0.002,0.001,0.002,0.003,0.001,0.002,0.001,0.003
TFG,0.007,0.004,0.008,0.007,0.005,0.009,0.011,0.003,0.011,0.010,0.005,0.003,0.008,0.013,0.002,0.007,0.011,0.007,0.008,0.010,0.007,0.011,0.006,0.005,0.008,0.005,0.001,0.012,0.007,0.009,0.012,0.009,0.003,0.007,0.003,0.010,0.003,0.004,0.005,0.007,0.003,0.004,0.010,0.011,0.010,0.009,0.009,0.006,0.010,0.007,0.005,0.013,0.014,0.002,0.006,0.008,0.008,0.006,0.006,0.011,0.008,0.003,0.006,0.010,0.004,0.008,0.009,0.005,0.009,0.013,0.010,0.003,0.005,0.003,0.006,0.007,0.002,0.008,0.007,0.007,0.004,0.010,0.009,0.012,0.002,0.006,0.002,0.011,0.007,0.010,0.011,0.008,0.009,0.006,0.010,0.008,0.008,0.008,0.006,0.002,0.007,0.007,0.006,0.005,0.009,0.009,0.005,0.004,0.011,0.003,0.008,0.014,0.012,0.004,0.007,0.005,0.008,0.011,0.010,0.010,0.006,0.007,0.009,-0.000,0.009,0.006,0.015,0.005,0.009,0.009,0.009,0.005,0.006,0.007,0.008,0.012,0.008,0.006,0.009,0.009,0.010,0.010,0.008,0.003,0.006,0.009,0.007,0.008,0.010,0.012,0.009,0.011,0.006,0.010,0.012,0.009,0.005,0.006,0.006,0.004,0.008,0.011,0.005,0.007,0.004,0.010
TON,0.006,0.004,0.007,0.006,0.005,0.008,0.010,0.003,0.010,0.009,0.004,0.003,0.007,0.012,0.002,0.006,0.009,0.006,0.007,0.009,0.006,0.010,0.006,0.005,0.007,0.005,0.001,0.011,0.006,0.008,0.010,0.008,0.002,0.006,0.002,0.009,0.003,0.004,0.005,0.006,0.003,0.003,0.009,0.009,0.009,0.008,0.007,0.006,0.009,0.006,0.005,0.011,0.012,0.002,0.005,0.007,0.007,0.005,0.005,0.009,0.007,0.003,0.005,0.009,0.003,0.007,0.008,0.005,0.008,0.011,0.009,0.003,0.005,0.002,0.005,0.006,0.002,0.007,0.006,0.006,0.004,0.009,0.008,0.011,0.001,0.005,0.002,0.010,0.006,0.009,0.010,0.007,0.008,0.006,0.009,0.007,0.007,0.007,0.005,0.002,0.006,0.006,0.005,0.004,0.008,0.008,0.005,0.003,0.010,0.003,0.007,0.012,0.010,0.004,0.006,0.005,0.007,0.010,0.008,0.009,0.005,0.006,0.008,-0.000,0.008,0.005,0.013,0.004,0.008,0.008,0.008,0.004,0.006,0.006,0.007,0.011,0.007,0.005,0.007,0.008,0.009,0.009,0.007,0.003,0.005,0.008,0.006,0.007,0.009,0.010,0.008,0.009,0.005,0.009,0.011,0.007,0.004,0.005,0.006,0.004,0.007,0.010,0.005,0.006,0.004,0.009
TRU,0.007,0.004,0.007,0.007,0.005,0.009,0.011,0.003,0.010,0.009,0.004,0.003,0.007,0.012,0.002,0.007,0.010,0.007,0.008,0.009,0.006,0.010,0.006,0.005,0.008,0.005,0.001,0.012,0.006,0.008,0.011,0.008,0.003,0.006,0.003,0.009,0.003,0.004,0.005,0.007,0.003,0.004,0.009,0.010,0.010,0.008,0.008,0.006,0.010,0.007,0.005,0.012,0.013,0.002,0.005,0.007,0.007,0.005,0.005,0.010,0.008,0.003,0.006,0.009,0.003,0.008,0.009,0.005,0.008,0.012,0.009,0.003,0.005,0.003,0.005,0.007,0.002,0.007,0.006,0.007,0.004,0.010,0.009,0.011,0.002,0.005,0.002,0.010,0.006,0.010,0.011,0.008,0.009,0.006,0.009,0.008,0.008,0.008,0.005,0.002,0.007,0.007,0.006,0.005,0.009,0.008,0.005,0.003,0.011,0.003,0.008,0.013,0.011,0.004,0.006,0.005,0.008,0.010,0.009,0.010,0.006,0.007,0.009,-0.000,0.008,0.006,0.014,0.005,0.008,0.008,0.009,0.005,0.006,0.007,0.008,0.012,0.007,0.006,0.008,0.009,0.010,0.009,0.008,0.003,0.006,0.009,0.006,0.008,0.009,0.011,0.008,0.010,0.006,0.010,0.011,0.008,0.005,0.005,0.006,0.004,0.008,0.011,0.005,0.006,0.004,0.010
VKE,0.004,0.003,0.004,0.004,0.003,0.005,0.006,0.002,0.006,0.006,0.003,0.002,0.004,0.007,0.001,0.004,0.006,0.004,0.005,0.006,0.004,0.006,0.004,0.003,0.005,0.003,0.001,0.007,0.004,0.005,0.007,0.005,0.002,0.004,0.002,0.006,0.002,0.002,0.003,0.004,0.002,0.002,0.006,0.006,0.006,0.005,0.005,0.004,0.006,0.004,0.003,0.007,0.008,0.001,0.003,0.004,0.004,0.003,0.003,0.006,0.005,0.002,0.004,0.006,0.002,0.005,0.005,0.003,0.005,0.007,0.006,0.002,0.003,0.002,0.003,0.004,0.001,0.004,0.004,0.004,0.002,0.006,0.005,0.007,0.001,0.003,0.001,0.006,0.004,0.006,0.006,0.005,0.005,0.004,0.006,0.005,0.005,0.005,0.003,0.001,0.004,0.004,0.003,0.003,0.005,0.005,0.003,0.002,0.006,0.002,0.005,0.008,0.007,0.002,0.004,0.003,0.005,0.006,0.005,0.006,0.003,0.004,0.005,-0.000,0.005,0.003,0.008,0.003,0.005,0.005,0.005,0.003,0.004,0.004,0.005,0.007,0.005,0.004,0.005,0.005,0.006,0.006,0.005,0.002,0.003,0.005,0.004,0.005,0.006,0.007,0.005,0.006,0.003,0.006,0.007,0.005,0.003,0.003,0.004,0.002,0.005,0.006,0.003,0.004,0.002,0.006
VVO,0.009,0.006,0.010,0.009,0.007,0.012,0.015,0.004,0.015,0.013,0.006,0.004,0.010,0.017,0.002,0.009,0.014,0.009,0.011,0.013,0.009,0.014,0.009,0.007,0.011,0.007,0.002,0.016,0.009,0.011,0.015,0.012,0.004,0.009,0.004,0.013,0.005,0.006,0.007,0.009,0.004,0.005,0.013,0.014,0.014,0.012,0.011,0.009,0.013,0.010,0.007,0.017,0.018,0.003,0.007,0.010,0.010,0.008,0.008,0.014,0.011,0.004,0.008,0.013,0.005,0.011,0.012,0.007,0.012,0.017,0.013,0.004,0.007,0.004,0.007,0.010,0.003,0.010,0.009,0.010,0.006,0.013,0.013,0.016,0.002,0.008,0.003,0.014,0.009,0.013,0.015,0.011,0.012,0.008,0.013,0.011,0.011,0.011,0.008,0.003,0.009,0.010,0.008,0.006,0.012,0.011,0.007,0.005,0.015,0.004,0.011,0.018,0.016,0.006,0.009,0.007,0.011,0.014,0.013,0.014,0.008,0.009,0.012,-0.000,0.012,0.008,0.020,0.007,0.011,0.012,0.012,0.007,0.009,0.010,0.011,0.016,0.011,0.008,0.011,0.013,0.014,0.013,0.011,0.004,0.008,0.012,0.009,0.011,0.013,0.016,0.012,0.014,0.008,0.014,0.016,0.011,0.007,0.007,0.009,0.006,0.011,0.015,0.007,0.009,0.006,0.014
WHL,0.009,0.005,0.010,0.009,0.007,0.011,0.014,0.004,0.014,0.012,0.006,0.004,0.010,0.016,0.002,0.009,0.013,0.009,0.010,0.012,0.008,0.013,0.008,0.007,0.010,0.007,0.002,0.015,0.008,0.011,0.015,0.011,0.003,0.008,0.003,0.012,0.004,0.005,0.006,0.009,0.004,0.005,0.012,0.013,0.013,0.011,0.011,0.008,0.013,0.009,0.006,0.016,0.017,0.003,0.007,0.010,0.010,0.007,0.007,0.013,0.010,0.004,0.008,0.012,0.005,0.010,0.011,0.007,0.011,0.016,0.012,0.004,0.006,0.003,0.007,0.009,0.003,0.009,0.008,0.009,0.005,0.013,0.012,0.015,0.002,0.007,0.003,0.013,0.008,0.013,0.014,0.010,0.011,0.008,0.012,0.010,0.010,0.010,0.007,0.003,0.009,0.009,0.007,0.006,0.011,0.011,0.007,0.004,0.014,0.004,0.010,0.017,0.015,0.005,0.008,0.007,0.010,0.013,0.012,0.013,0.008,0.009,0.011,-0.000,0.011,0.007,0.018,0.006,0.011,0.011,0.011,0.006,0.008,0.009,0.010,0.015,0.010,0.008,0.011,0.012,0.013,0.012,0.010,0.004,0.007,0.012,0.008,0.010,0.012,0.015,0.011,0.013,0.007,0.013,0.015,0.011,0.006,0.007,0.008,0.005,0.010,0.014,0.007,0.009,0.005,0.013
ACL,0.011,0.007,0.012,0.011,0.008,0.014,0.018,0.005,0.017,0.015,0.007,0.005,0.012,0.021,0.003,0.011,0.017,0.011,0.013,0.015,0.010,0.017,0.010,0.008,0.013,0.009,0.002,0.019,0.010,0.013,0.018,0.014,0.004,0.010,0.004,0.015,0.005,0.007,0.008,0.011,0.005,0.006,0.015,0.017,0.016,0.014,0.013,0.010,0.016,0.011,0.008,0.020,0.021,0.003,0.009,0.012,0.012,0.009,0.009,0.017,0.013,0.005,0.010,0.015,0.006,0.012,0.014,0.008,0.014,0.020,0.016,0.005,0.008,0.004,0.009,0.011,0.003,0.012,0.011,0.011,0.007,0.016,0.015,0.019,0.003,0.009,0.003,0.017,0.010,0.016,0.018,0.013,0.014,0.010,0.016,0.013,0.013,0.013,0.009,0.003,0.011,0.011,0.009,0.008,0.014,0.013,0.008,0.006,0.018,0.005,0.013,0.021,0.019,0.007,0.011,0.008,0.013,0.017,0.015,0.016,0.009,0.011,0.015,-0.000,0.014,0.009,0.023,0.008,0.014,0.014,0.014,0.008,0.010,0.011,0.013,0.019,0.012,0.010,0.013,0.015,0.016,0.016,0.013,0.005,0.009,0.015,0.011,0.013,0.015,0.018,0.014,0.017,0.009,0.016,0.019,0.013,0.008,0.009,0.010,0.007,0.013,0.018,0.009,0.011,0.007,0.016
ADH,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.003,0.000,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.000,0.003,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.003,0.003,0.000,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.000,0.002,0.001,0.002,0.001,0.002,0.002,0.003,0.000,0.001,0.000,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.000,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.003,0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,-0.000,0.002,0.001,0.003,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.002
AFE,0.005,0.003,0.006,0.005,0.004,0.007,0.009,0.002,0.008,0.008,0.004,0.002,0.006,0.010,0.001,0.005,0.008,0.005,0.006,0.007,0.005,0.008,0.005,0.004,0.006,0.004,0.001,0.009,0.005,0.007,0.009,0.007,0.002,0.005,0.002,0.007,0.003,0.003,0.004,0.005,0.002,0.003,0.008,0.008,0.008,0.007,0.006,0.005,0.008,0.006,0.004,0.010,0.010,0.002,0.004,0.006,0.006,0.004,0.004,0.008,0.006,0.002,0.005,0.007,0.003,0.006,0.007,0.004,0.007,0.010,0.008,0.002,0.004,0.002,0.004,0.006,0.002,0.006,0.005,0.005,0.003,0.008,0.007,0.009,0.001,0.004,0.002,0.008,0.005,0.008,0.009,0.006,0.007,0.005,0.008,0.006,0.006,0.006,0.004,0.002,0.005,0.006,0.005,0.004,0.007,0.007,0.004,0.003,0.009,0.002,0.006,0.010,0.009,0.003,0.005,0.004,0.006,0.008,0.007,0.008,0.005,0.005,0.007,-0.000,0.007,0.005,0.011,0.004,0.007,0.007,0.007,0.004,0.005,0.006,0.006,0.009,0.006,0.005,0.006,0.007,0.008,0.008,0.006,0.002,0.004,0.007,0.005,0.006,0.007,0.009,0.007,0.008,0.004,0.008,0.009,0.006,0.004,0.004,0.005,0.003,0.006,0.009,0.004,0.005,0.003,0.008
